Date,SPY,XLK,XLY,XLV,XLF,XLI,XLP,XLU,XLC,XLRE,XLB,XLE
11/5/07,110.3857574,21.03608513,27.80315399,27.46121979,18.6233139,29.31157875,19.36924171,25.55874634,49.24725723,24.77722931,30.64208794,50.71398926
11/12/07,110.8801193,21.31958961,27.88514328,27.95679665,18.85193062,29.22874832,19.84860611,25.406353,49.24725723,24.77722931,29.63864899,49.49468994
11/19/07,109.6175995,20.88217545,27.50798607,27.67361259,18.08574295,28.7467556,19.82777214,25.55264664,49.24725723,24.77722931,29.15906715,50.44151688
11/26/07,113.0628662,21.27098656,28.40989685,28.68836784,19.15469933,29.67307472,20.27934456,26.04639626,49.24725723,24.77722931,30.73065186,50.04643631
12/3/07,114.7740784,21.78939629,28.61486244,28.90861702,19.27827644,30.35090446,20.4669323,26.93025017,49.24725723,24.77722931,31.74145889,51.89244461
12/10/07,111.9296494,21.6760006,27.26202011,28.08266258,18.1351757,29.71826935,20.16124153,26.32068634,49.24725723,24.77722931,30.95936394,52.07637024
12/17/07,112.65979,21.88660431,27.0078373,28.21637917,18.09810066,29.78606606,20.383564,26.21097755,49.24725723,24.77722931,31.07003021,54.0177269
12/24/07,112.623085,21.85730934,27.10180664,27.97979164,18.04475021,29.76969528,20.27165413,26.36155891,49.24725723,24.77722931,31.24634552,54.88755035
12/31/07,108.0432129,20.45766449,25.46678352,27.46662331,17.07205582,28.56650925,19.63620377,26.01146698,49.24725723,24.77722931,30.37488747,52.92749023
1/7/08,107.156311,19.75784111,24.98783875,28.79298401,17.1468811,27.57518196,19.74096298,26.67480659,49.24725723,24.77722931,29.77900124,51.62994385
1/14/08,100.9708405,18.79761887,24.37677002,27.37187195,15.89983749,26.24334908,18.9588604,24.58651924,49.24725723,24.77722931,27.82005692,47.05425644
1/21/08,101.7201309,18.58604431,25.48329544,26.04553223,16.94734955,27.09087753,18.6446209,23.45024872,49.24725723,24.77722931,28.63194275,46.9176712
1/28/08,106.7205124,19.24517059,27.14309311,26.73239517,18.50616074,28.64216614,19.1823082,24.7155056,49.24725723,24.77722931,30.4791584,48.72745514
2/4/08,101.7430878,18.14661407,26.06959152,26.1402626,16.909935,27.3708744,18.71444893,23.95389175,49.24725723,24.77722931,29.66727638,47.70304871
2/11/08,103.325737,18.48838997,26.61459923,26.31396484,16.72911644,27.82491112,19.09852028,24.47596169,49.24725723,24.77722931,29.98011017,49.75185776
2/18/08,103.6927567,18.30122566,26.60635185,26.34553719,16.95981979,28.11246109,19.27309036,24.21185875,49.24725723,24.77722931,30.77710152,51.15187073
2/25/08,102.3165131,18.02454758,25.86315536,25.89552689,16.10559845,27.43141365,18.94488716,23.10015297,49.24725723,24.77722931,30.4419136,51.93722916
3/3/08,99.17404938,17.91877365,24.90525627,25.05865097,15.16407585,26.94710541,18.90299034,23.15543175,49.24725723,24.77722931,29.48851395,50.37332535
3/10/08,99.0976181,17.86180496,24.8061657,24.22178459,14.96454811,27.30276108,18.82618141,23.27827072,49.24725723,24.77722931,30.36744308,51.05624771
3/17/08,100.9861374,18.21985435,25.80534554,24.54548645,16.41111946,27.71897316,19.28705788,23.00187874,49.24725723,24.77722931,28.52766418,48.35866928
3/24/08,101.0481339,18.25734138,25.24401093,24.84568977,15.49379063,28.00170326,19.57271576,23.27919769,49.24725723,24.77722931,30.05133057,50.27181244
3/31/08,105.1819382,18.91666031,26.50083542,25.05980873,16.56861115,29.18744278,19.91671562,24.23189163,49.24725723,24.77722931,32.06121445,52.94978714
4/7/08,102.4849625,18.38758278,25.55821228,25.00428772,15.79549217,27.69005966,19.50953484,24.29375267,49.24725723,24.77722931,31.51577187,53.07990265
4/14/08,106.4036484,19.38876724,26.51737213,25.08359528,16.63775063,29.1266346,19.62887573,25.1660347,49.24725723,24.77722931,33.05495834,57.2509613
4/21/08,107.2642136,19.53528595,26.75716209,25.22634315,16.93945503,29.1646328,19.6078186,24.95570183,49.24725723,24.77722931,32.80092239,56.76469421
4/28/08,108.7317734,20.1783123,27.44345093,25.41666222,17.41715431,29.56748772,19.73418999,25.37636375,49.24725723,24.77722931,31.71004105,55.79896545
5/5/08,106.7263718,19.94227028,26.62486458,24.95671272,16.33604622,29.06582451,19.54464149,24.77010536,49.24725723,24.77722931,32.46469498,58.05916214
5/12/08,109.6154709,20.65042114,27.65016747,25.13911438,16.5874691,29.85633087,20.00095749,25.22789383,49.24725723,24.77722931,34.30272675,60.92204285
5/19/08,105.7582092,19.92598343,26.21142578,24.86154556,15.49379063,28.72379303,19.71312714,25.30831146,49.24725723,24.77722931,32.77851105,59.07965088
5/26/08,107.8404999,20.6341362,26.7158165,25.4404583,15.56293106,29.52188492,20.00095749,25.55577469,49.24725723,24.77722931,33.25667953,58.90158844
6/2/08,104.7209473,20.12133408,25.8476162,24.91706276,14.66409969,28.1309166,19.62186241,25.07943344,49.24725723,24.77722931,33.00264359,58.91528702
6/9/08,104.6133423,19.90970421,26.22796822,24.47296143,14.69552898,28.13850784,19.74120331,25.54341507,49.24725723,24.77722931,33.27910614,59.31253052
6/16/08,101.1019135,19.33179092,24.78923798,23.79095268,13.94127274,27.28721237,19.01109505,25.15984344,49.24725723,24.77722931,32.44226456,58.73036575
6/23/08,98.48016357,18.72575569,23.7422142,24.10116577,13.04387379,25.73499298,18.72704124,24.76052284,49.24725723,24.77722931,31.44997025,59.91550064
6/30/08,97.53805542,18.24414253,23.27749252,24.30034828,12.64437389,25.51353455,18.80459404,25.16561317,49.24725723,24.77722931,29.61101151,58.301754
7/7/08,95.6306839,18.1380291,22.23186874,24.55530357,11.84538078,25.26917076,18.98791885,25.21547508,49.24725723,24.77722931,29.58847046,56.17295456
7/14/08,97.28322601,18.6114769,23.82520485,25.25642967,13.10727978,26.19318199,18.91741943,24.01265907,49.24725723,24.77722931,29.72361183,52.80806351
7/21/08,96.89710999,18.25229836,23.59284401,25.39187431,13.23411083,26.32300949,19.11484146,23.43929863,49.24725723,24.77722931,29.28825378,50.68613052
7/28/08,97.42220306,18.04007149,23.44346237,25.26439095,13.71604156,26.15499878,19.28405762,23.05289459,49.24725723,24.77722931,29.7611351,51.08444595
8/4/08,99.90104675,19.06043434,25.21106148,26.54712677,13.91261673,27.26993179,20.03144646,23.16508484,49.24725723,24.77722931,28.87543297,48.742733
8/11/08,100.5187912,19.37062645,25.9081459,26.77818298,13.54482651,27.22411346,20.43334579,23.02797318,49.24725723,24.77722931,29.53595543,48.61912918
8/18/08,100.117218,19.0196209,25.46831512,26.53916931,13.15167046,26.94919014,20.22182083,23.58887291,49.24725723,24.77722931,29.83618355,51.24238205
8/25/08,99.45314026,18.57066345,25.31064224,25.98145294,13.58287621,26.89574814,19.84107018,23.47045898,49.24725723,24.77722931,29.83618355,51.26297379
9/1/08,96.07858276,17.56661987,25.12807465,25.37594032,13.78579617,25.78081322,19.96798515,22.05574989,49.24725723,24.77722931,27.93718147,46.98474884
9/8/08,97.36816406,17.75436592,25.89155006,25.81414032,13.41165543,26.04809189,20.55321312,22.73505592,49.24725723,24.77722931,28.58269691,47.33499146
9/15/08,95.84690857,17.01969528,25.06168938,25.13691902,14.19163132,25.28443909,19.53083038,21.81269455,49.24725723,24.77722931,28.73281288,48.92816925
9/22/08,93.86192322,17.03713417,24.35886765,24.6830368,13.69387817,24.24017525,19.66380501,21.71017456,49.24725723,24.77722931,26.60756111,46.64025116
9/29/08,85.69901276,15.25969219,21.61068344,23.73060989,12.02295589,21.36083603,19.33015442,20.19491768,49.24725723,24.77722931,22.79461479,39.96455383
10/6/08,68.73628998,13.02356911,18.42945862,19.32063484,9.667016983,18.07456207,16.75327492,16.19617081,49.24725723,24.77722931,19.38939095,29.89936066
10/13/08,72.39446259,13.54779339,18.52106094,20.88933945,9.827070236,18.08991814,17.25729752,17.23358154,49.24725723,24.77722931,19.44224739,31.64921761
10/20/08,67.6023407,12.33553696,16.17262268,20.56920052,8.674710274,16.96121597,16.18537521,17.27131081,49.24725723,24.77722931,17.29038239,30.0715847
10/27/08,75.20604706,13.63789177,19.13732529,21.28952217,9.942303658,19.3337822,17.12241745,18.17668533,49.24725723,24.77722931,19.57060242,35.41075134
11/3/08,72.89931488,12.97442722,17.58834648,21.15346527,9.103642464,18.29722786,17.22180176,18.27099419,49.24725723,24.77722931,18.77781487,34.34291458
11/10/08,67.27616882,12.13076115,15.9727602,20.44114304,8.14974308,17.19924164,16.66809082,18.10751915,49.24725723,24.77722931,17.15447617,32.9099617
11/17/08,61.76169968,11.37719345,14.53204441,18.88043976,6.197135925,15.80947399,16.32024765,18.12638474,49.24725723,24.77722931,15.1762743,30.60206985
11/24/08,69.97122955,12.49116325,17.06369591,19.9449234,8.104933739,17.7443943,17.08692169,18.93745232,49.24725723,24.77722931,17.47914696,34.63916016
12/1/08,68.2935791,12.31096172,17.56336784,20.16101265,8.200963974,17.39887428,16.8242588,17.90003777,49.24725723,24.77722931,16.55799484,30.42295265
12/8/08,69.11685944,12.57306862,17.43845749,20.10499573,7.765625954,17.09941673,16.42672539,18.17039871,49.24725723,24.77722931,17.44138908,33.26129913
12/15/08,68.49551392,12.50754738,17.67995262,20.88133812,7.829645634,17.33744812,16.49061775,17.96920204,49.24725723,24.77722931,17.1997776,31.69055748
12/22/08,68.24508667,12.29448318,17.47027779,20.81531334,7.65415287,17.42062569,16.69587898,17.87791634,49.24725723,24.77722931,16.93525124,31.2732563
12/29/08,72.78640747,13.16736507,19.00584602,21.81380081,8.225937843,18.82388687,17.33307076,18.91570663,49.24725723,24.77722931,18.01281357,34.72884369
1/5/09,69.75623322,12.80503845,18.01570702,21.05687714,7.511207104,18.00983429,16.4667778,18.51460075,49.24725723,24.77722931,17.83703613,33.68315506
1/12/09,66.60082245,12.30271816,17.29406548,20.98440552,6.289661407,16.91668892,16.43098068,18.39999962,49.24725723,24.77722931,17.22565651,32.22891998
1/19/09,65.07398224,12.26154327,16.51369095,21.00051689,5.841327667,15.99410057,16.14460182,18.31722641,49.24725723,24.77722931,16.82061768,32.5890007
1/26/09,64.85475159,12.08861542,16.17804337,21.12129784,6.00376606,15.97859764,15.85822487,18.45092964,49.24725723,24.77722931,16.09460449,32.4920578
2/2/09,68.10414886,13.15089893,16.89129066,22.07147598,6.361135006,16.38949966,16.12312317,19.03030205,49.24725723,24.77722931,17.30972099,34.25793457
2/9/09,64.7999649,12.67328072,15.93469715,21.45949936,5.750362873,15.76927757,15.43581104,18.06255341,49.24725723,24.77722931,16.4996376,32.54052734
2/16/09,60.6187973,11.97332668,14.96972275,20.82336044,4.83420372,14.43578434,15.24967003,16.70643425,49.24725723,24.77722931,15.65134811,29.34811401
2/23/09,57.88616943,11.62746716,14.70960522,18.50428581,4.938162804,13.25734901,14.57667732,16.13979149,49.24725723,24.77722931,14.80306339,28.48248863
3/2/09,53.96342087,11.24043465,13.69427967,17.94867897,4.015505314,12.01690102,14.11130905,14.75819492,49.24725723,24.77722931,14.06175709,26.86204338
3/9/09,59.57743454,12.1050806,15.28858948,19.43030739,5.321518898,13.37364388,14.71986389,15.03833866,49.24725723,24.77722931,15.55200672,28.73871422
3/16/09,60.06289673,12.38506794,15.56548977,18.96327019,5.289032459,13.48218441,14.72702503,16.13979149,49.24725723,24.77722931,16.16338348,29.77746201
3/23/09,64.35688019,13.09305382,16.95700645,19.65612221,5.998358727,15.09164047,15.56324577,16.60774803,49.24725723,24.77722931,17.60726929,30.95372009
3/30/09,66.44663239,13.82964706,18.0452919,19.36444283,6.359309196,15.55347252,15.71448231,16.83304787,49.24725723,24.77722931,18.30694389,32.03261185
4/6/09,67.66892242,13.84619427,18.48397446,19.55079842,6.97620821,16.03095245,15.60645103,16.78155327,49.24725723,24.77722931,18.33000946,31.74026108
4/13/09,68.67048645,14.03654766,18.99858665,20.04504013,7.291222572,16.524086,15.90893269,16.59488297,49.24725723,24.77722931,18.7990303,31.86555862
4/20/09,68.33924866,14.15242004,19.22637558,19.25101089,7.179654598,16.95461273,15.48403168,16.3245163,49.24725723,24.77722931,19.2987957,32.06741333
4/27/09,69.3092041,14.46691513,19.55539131,19.5588932,6.98933506,17.22074699,15.90893269,17.07765579,49.24725723,24.77722931,19.78318787,32.89572525
5/4/09,73.32314301,14.14413834,20.23873138,20.73373032,8.544710159,18.40271568,16.39146042,17.54113388,49.24725723,24.77722931,20.60588264,36.08366394
5/11/09,69.95588684,13.90412903,18.66957664,20.52306938,7.566859722,17.06419754,16.1105938,16.69787025,49.24725723,24.77722931,19.86007309,33.41080475
5/18/09,70.20033264,14.0199976,19.04921532,20.49065971,7.652172089,16.97808647,16.51389313,16.62706375,49.24725723,24.77722931,20.22145462,33.83538818
5/25/09,72.96829987,14.60760593,19.50477791,20.92818451,8.026251793,17.60430145,16.65073204,17.23215103,49.24725723,24.77722931,20.89037132,35.97230148
6/1/09,74.56122589,15.17867947,20.25561142,20.89577866,8.085314751,18.57492065,17.0108242,17.45745659,49.24725723,24.77722931,21.17485809,36.27160645
6/8/09,74.97920227,15.21177673,20.12906647,20.76613617,8.196884155,18.46533585,16.93880272,18.13978577,49.24725723,24.77722931,21.5439167,37.24607849
6/15/09,72.58187103,14.99659157,19.51320648,21.13074112,7.901556015,17.37730789,16.48508835,17.6827507,49.24725723,24.77722931,20.04460526,34.25304031
6/22/09,72.83325958,15.09771729,19.45253563,21.47307205,7.863147736,17.31216049,16.71287727,18.06014442,49.24725723,24.77722931,19.95798874,33.50457001
6/29/09,71.2233963,14.82336044,18.88488388,20.96821022,7.566299438,16.83148956,16.61127472,17.86483002,49.24725723,24.77722931,19.44010925,32.29424286
7/6/09,69.75623322,14.57395363,18.72390938,20.87862587,7.322226048,16.32717133,16.61127472,17.51976585,49.24725723,24.77722931,18.79081154,31.25180817
7/13/09,74.64932251,15.7960701,20.13879204,21.60336304,8.008272171,17.63523865,17.36600876,18.24244499,49.24725723,24.77722931,20.56863213,33.8963623
7/20/09,77.7660141,16.33646011,21.1724205,22.71894836,8.192973137,18.44687462,17.80142403,19.24505424,49.24725723,24.77722931,22.22277832,35.81330872
7/27/09,78.36077118,16.37802887,21.40964699,22.69452477,8.582173347,18.8172245,17.79416847,18.84140587,49.24725723,24.77722931,22.50878143,35.41451645
8/3/09,80.25615692,16.45284843,22.45175362,22.49909019,9.466119766,19.7943325,17.61999893,18.82838821,49.24725723,24.77722931,23.35131073,35.56143951
8/10/09,79.93100739,16.38634109,21.92646408,22.74337959,9.393555641,19.48702049,17.70708084,18.90650368,49.24725723,24.77722931,23.02667046,35.47748947
8/17/09,81.65985107,16.70225716,22.29924965,23.35409927,9.598052979,19.93616867,17.95381737,19.349226,49.24725723,24.77722931,23.42861366,36.62485123
8/24/09,81.98500061,16.86022568,22.54495049,23.34595871,9.729981422,19.951931,17.97559166,19.192976,49.24725723,24.77722931,23.35131073,36.50592041
8/31/09,80.9382019,16.70225716,22.28229904,23.19938278,9.380365372,19.94404793,18.02639198,18.82838821,49.24725723,24.77722931,23.21217537,35.65239334
9/7/09,83.08733368,17.20108414,22.94314575,23.54953575,9.584860802,20.76356125,18.38198471,18.84140587,49.24725723,24.77722931,23.79963493,37.49937439
9/14/09,84.63376617,17.36736488,23.55315018,23.41925049,9.987252235,21.28363419,18.43278313,19.32317734,49.24725723,24.77722931,24.74264145,38.60476685
9/21/09,83.2281189,17.17308807,22.93269348,23.33410835,9.654270172,20.69934273,18.44745255,19.20693398,49.24725723,24.77722931,23.70442581,37.63785553
9/28/09,81.66635895,16.89771461,22.55019188,23.02331924,9.455757141,20.08145523,18.49860764,18.75964355,49.24725723,24.77722931,22.98257637,36.52051926
10/5/09,85.4671936,17.54024315,23.62967682,23.62036896,10.08437634,21.03206062,18.94444466,19.2398262,49.24725723,24.77722931,24.44955254,39.46493912
