Headquarters Location - Split 1,Headquarters Location - Split 2,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Weight,Price,Chg,% Chg,State,Abbrev,Code,Weight_rank
Chicago,Illinois,EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/57,1109357,2000,0.122664,   43.10,-1.34,(-3.02%),Illinois,Ill.,IL,157
Baltimore,Maryland,TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937,0.12222,   181.50,-3.27,(-1.77%),Maryland,Md.,MD,158
Pittsburgh,Pennsylvania,PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/57,79879,1883,0.119866,   173.85,-5.14,(-2.87%),Pennsylvania,Pa.,PA,159
Austin,Texas,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"Austin, Texas",5/18/16,1297996,2004,0.119693,   145.59,-3.06,(-2.06%),Texas,Tex.,TX,160
Newark,New Jersey,PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/02,1137774,1875,0.119564,   103.03,-1.88,(-1.79%),New Jersey,N.J.,NJ,161
New York,New York,BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",3/31/95,1390777,1784,0.119007,   51.03,-0.55,(-1.07%),New York,N.Y.,NY,162
Glendale,California,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",8/19/05,1393311,1972,0.118986,   269.80,-4.52,(-1.65%),California,Calif.,CA,163
San Diego,California,SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998,0.118711,   135.21,-3.33,(-2.40%),California,Calif.,CA,164
Cambridge,Massachusetts,BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/03,875045,1978,0.118487,   271.00,-7.39,(-2.65%),Massachusetts,Mass.,MA,165
Indianapolis,Indiana,SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/02,1063761,2003,0.117498,   116.51,-6.13,(-5.00%),Indiana,Ind.,IN,166
San Francisco,California,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",6/7/18,1418091,2006,0.116696,   50.30,-2.58,(-4.88%),California,Calif.,CA,167
Cleveland,Ohio,PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/85,76334,1917,0.115226,   303.35,-9.34,(-2.99%),Ohio,Ohio,OH,168
New York,New York,TRV,The Travelers Companies,Financials,Property & Casualty Insurance,"New York, New York",8/21/02,86312,1853,0.115068,   154.06,-2.63,(-1.68%),New York,N.Y.,NY,169
Northfield Township,Illinois,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/95,899051,1931,0.114948,   132.75,-1.38,(-1.03%),Illinois,Ill.,IL,170
Victor,New York,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/05,16918,1945,0.11477,   229.75,-4.29,(-1.83%),New York,N.Y.,NY,171
St. Louis,Missouri,CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/16,1071739,1984,0.114165,   69.64,1.58,-2.32%,Missouri,Mo.,MO,172
Redwood City,California,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/02,712515,1982,0.114161,   139.67,-1.69,(-1.20%),California,Calif.,CA,173
Santa Clara,California,A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",6/5/00,1090872,1999,0.113389,   128.10,-3.32,(-2.53%),California,Calif.,CA,174
Wallingford,Connecticut,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/08,820313,1932,0.113386,   64.00,-2.31,(-3.48%),Connecticut,Conn.,CT,175
Columbus,Indiana,CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/65,26172,1919,0.113081,   251.00,-13.78,(-5.20%),Indiana,Ind.,IN,176
San Jose,California,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/17,1097149,1997,0.112672,   547.31,-18.95,(-3.35%),California,Calif.,CA,177
San Jose,California,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",7/22/02,1065088,1995,0.112079,   57.72,-2.71,(-4.48%),California,Calif.,CA,178
Deerfield,Illinois,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/79,1618921,2014,0.111533,   52.75,-1.49,(-2.75%),Illinois,Ill.,IL,179
Springfield,Missouri,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/09,898173,1957,0.111425,   550.98,-8.85,(-1.58%),Missouri,Mo.,MO,180
New York,New York,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",4/4/18,1408198,1969,0.111138,   458.00,-14.67,(-3.10%),New York,N.Y.,NY,181
Teaneck,New Jersey,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1058290,1994,0.110821,   70.50,-2.14,(-2.95%),New Jersey,N.J.,NJ,182
Newport Beach,California,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/11,1058090,1993,0.110502,"   1,332.92",-60.33,(-4.33%),California,Calif.,CA,183
Golden Valley,Minnesota,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/69,40704,1856,0.110137,   62.96,-0.15,(-0.24%),Minnesota,Minn.,MN,184
Findlay,Ohio,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/11,1510295,1887,0.109923,   58.80,0.16,-0.27%,Ohio,Ohio,OH,185
Chandler,Arizona,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,827054,1989,0.108892,   138.10,-7.41,(-5.09%),Arizona,Ariz.,AZ,186
Minneapolis,Minnesota,XEL,Xcel Energy Inc,Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/57,72903,1909,0.108333,   70.17,-0.86,(-1.21%),Minnesota,Minn.,MN,187
Boston,Massachusetts,ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,"Boston, Massachusetts",5/25/12,899866,1992,0.106579,   172.27,0.86,-0.50%,Massachusetts,Mass.,MA,188
Chicago,Illinois,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/81,7084,1902,0.106576,   65.21,-1.68,(-2.51%),Illinois,Ill.,IL,189
Bethesda,Maryland,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,0.105598,   135.94,-5.77,(-4.07%),Maryland,Md.,MD,190
Houston,Texas,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/12,1534701,1917,0.105502,   82.75,-0.88,(-1.05%),Texas,Tex.,TX,191
Palm Beach Gardens,Florida,CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/20,1783180,1915,0.104713,   42.43,-2.07,(-4.65%),Florida,Fla.,FL,192
Louisville,Kentucky,YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/97,1041061,1997,0.103239,   117.15,-2,(-1.68%),Kentucky,Ky.,KY,193
Riverwoods,Illinois,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612,1985,0.10277,   112.33,-2.06,(-1.80%),Illinois,Ill.,IL,194
Dallas,Texas,LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",7/1/94,92380,1967,0.102266,   57.80,-1.98,(-3.31%),Texas,Tex.,TX,195
Columbus,Georgia,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/99,4977,1955,0.102159,   53.61,-1.61,(-2.92%),Georgia,Ga.,GA,196
Warsaw,Indiana,ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/01,1136869,1927,0.100858,   163.77,-3.78,(-2.26%),Indiana,Ind.,IN,197
Houston,Texas,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/12,1506307,1997,0.100267,   17.78,-0.19,(-1.06%),Texas,Tex.,TX,198
New Britain,Connecticut,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/82,93556,1843,0.100186,   209.74,-7.95,(-3.65%),Connecticut,Conn.,CT,199
New York,New York,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",3/31/76,51253,1889,0.100165,   135.00,-3.68,(-2.65%),New York,N.Y.,NY,200
Mountain View,California,SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",3/16/17,883241,1986,0.09993,   228.73,-6.09,(-2.59%),California,Calif.,CA,201
Wilmington,Delaware,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/19,1755672,2019,0.098668,   45.00,-2.09,(-4.44%),Delaware,Del.,DE,202
Corning,New York,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,24741,1851,0.09807,   42.50,-2.64,(-5.85%),New York,N.Y.,NY,203
San Jose,California,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/17,813672,1988,0.09773,   121.89,-3.94,(-3.13%),California,Calif.,CA,204
Arlington,Texas,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/05,882184,1978,0.097558,   92.35,-7.25,(-7.28%),Texas,Tex.,TX,205
Irving,Texas,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/08,1038357,1997,0.09623,   155.01,-2.69,(-1.71%),Texas,Tex.,TX,206
Chicago,Illinois,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928,0.095591,   194.34,-7.37,(-3.65%),Illinois,Ill.,IL,207
Corona,California,MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",6/28/12,865752,1935,0.095565,   89.79,-1.75,(-1.91%),California,Calif.,CA,208
Tysons Corner,Virginia,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/17,1585689,1919,0.095246,   118.00,-3.83,(-3.14%),Virginia,Va.,VA,209
Memphis,Tennessee,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/97,866787,1979,0.095115,"   1,495.88",0.75,-0.05%,Tennessee,Tenn.,TN,210
Bellevue,Washington,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/80,75362,1905,0.093724,   91.00,-3.76,(-3.97%),Washington,Wash.,WA,211
San Francisco,California,FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/19,1132979,1985,0.093161,   183.03,-3.29,(-1.77%),California,Calif.,CA,212
San Diego,California,DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",5/12/20,1093557,1999,0.093013,   334.14,-13.86,(-3.98%),California,Calif.,CA,213
Cleveland,Ohio,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/16,1260221,1993,0.092804,   576.88,-23.18,(-3.86%),Ohio,Ohio,OH,214
San Antonio,Texas,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980,0.091821,   79.97,2.28,-2.93%,Texas,Tex.,TX,215
Penfield,New York,PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971,0.090974,   96.00,-3.03,(-3.06%),New York,N.Y.,NY,216
Irving,Texas,MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833,0.090698,   197.10,-0.84,(-0.42%),Texas,Tex.,TX,217
Newark,New Jersey,PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,"Newark, New Jersey",3/4/57,788784,1903,0.090198,   60.70,-1.55,(-2.49%),New Jersey,N.J.,NJ,218
Boca Raton,Florida,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/17,1034054,1989,0.090097,   284.25,-7.2,(-2.47%),Florida,Fla.,FL,219
Farmington,Connecticut,OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",4/3/20,1781335,1853,0.090018,   75.54,-2.08,(-2.68%),Connecticut,Conn.,CT,220
Mason,Ohio,CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,723254,1929,0.089813,   343.76,-10.92,(-3.08%),Ohio,Ohio,OH,221
Berwyn,Pennsylvania,AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/13,1037868,1930,0.0892,   130.84,-5.3,(-3.89%),Pennsylvania,Pa.,PA,222
Milwaukee,Wisconsin,ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903,0.088761,   260.01,-8.3,(-3.09%),Wisconsin,Wis.,WI,223
Milwaukee,Wisconsin,WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/08,783325,1896,0.088359,   95.02,-1.42,(-1.47%),Wisconsin,Wis.,WI,224
Toledo,Ohio,WELL,Welltower Inc.,Real Estate,Health Care REITs,"Toledo, Ohio",1/30/09,766704,1970,0.087529,   70.76,-2.33,(-3.19%),Ohio,Ohio,OH,225
Tulsa,Oklahoma,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/75,107263,1908,0.087482,   25.02,-0.63,(-2.46%),Oklahoma,Okla.,OK,226
Boston,Massachusetts,STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792,0.087193,   84.60,-1.5,(-1.74%),Massachusetts,Mass.,MA,227
Winona,Minnesota,FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/08,815556,1967,0.087118,   51.62,-1.27,(-2.40%),Minnesota,Minn.,MN,228
Minneapolis,Minnesota,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/05,820027,1894,0.087019,   250.84,-7.31,(-2.83%),Minnesota,Minn.,MN,229
Federal Way,Washington,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,1900,0.086076,   37.60,-2.04,(-5.15%),Washington,Wash.,WA,230
Charlotte,North Carolina,NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",4/30/85,73309,1940,0.085191,   93.40,-8.58,(-8.41%),North Carolina,N.C.,NC,231
Cincinnati,Ohio,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858,0.084763,   40.63,-1,(-2.40%),Ohio,Ohio,OH,232
Santa Clara,California,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",3/19/18,719739,1983,0.084455,   547.50,-36.4,(-6.23%),California,Calif.,CA,233
Miami,Florida,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/05,920760,1954,0.083631,   96.80,-6.65,(-6.43%),Florida,Fla.,FL,234
Cincinnati,Ohio,KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/57,56873,1883,0.083492,   36.50,-1.92,(-5.00%),Ohio,Ohio,OH,235
Broomfield,Colorado,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/84,9389,1880,0.083167,   87.83,-2.77,(-3.06%),Colorado,Colo.,CO,236
San Jose,California,XLNX,Xilinx,Information Technology,Semiconductors,"San Jose, California",11/8/99,743988,1984,0.082945,   116.47,-4.76,(-3.93%),California,Calif.,CA,237
Hartford,Connecticut,ES,Eversource Energy,Utilities,Multi-Utilities,"Hartford, Connecticut",,72741,1966,0.082713,   82.68,-1.34,(-1.59%),Connecticut,Conn.,CT,238
Jersey City,New Jersey,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/15,1442145,1971,0.082493,   172.00,-3.08,(-1.76%),New Jersey,N.J.,NJ,239
Rolling Meadows,Illinois,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/16,354190,1927,0.082349,   141.12,-7.34,(-4.94%),Illinois,Ill.,IL,240
Columbus,Ohio,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1037646,1945,0.08222,"   1,241.45",1.51,-0.12%,Ohio,Ohio,OH,241
Atlanta,Georgia,EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/97,33185,1899,0.08221,   233.22,-5.38,(-2.25%),Georgia,Ga.,GA,242
Dallas,Texas,CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/06,1138118,1906,0.082008,   84.38,-1.35,(-1.57%),Texas,Tex.,TX,243
Atlanta,Georgia,DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",9/11/13,27904,1929,0.081814,   42.48,-2.04,(-4.58%),Georgia,Ga.,GA,244
Richfield,Minnesota,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/99,764478,1966,0.08181,   115.60,-6.07,(-4.99%),Minnesota,Minn.,MN,245
Camden,New Jersey,AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",3/4/16,1410636,1886,0.079877,   148.50,-5.2,(-3.38%),New Jersey,N.J.,NJ,246
Chicago,Illinois,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",7/6/15,1637459,1869,0.079802,   42.67,-0.59,(-1.35%),Illinois,Ill.,IL,247
San Diego,California,RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",7/26/17,943819,1989,0.079324,   192.65,-2.1,(-1.08%),California,Calif.,CA,248
Kansas City,Missouri,KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/13,54480,1887,0.078915,   305.81,-2.36,(-0.77%),Missouri,Mo.,MO,249
Canonsburg,Pennsylvania,ANSS,"ANSYS, Inc.",Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/17,1013462,1969,0.078833,   320.00,-0.87,(-0.27%),Pennsylvania,Pa.,PA,250
Detroit,Michigan,DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/57,936340,1995,0.078826,   138.60,-3.63,(-2.55%),Michigan,Mich.,MI,251
Denver,Colorado,VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",6/30/79,103379,1899,0.078785,   83.64,-1.66,(-1.95%),Colorado,Colo.,CO,252
Sunnyvale,California,FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/18,1262039,2000,0.078068,   197.00,-9.51,(-4.61%),California,Calif.,CA,253
Arlington,Virginia,AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/07,915912,1978,0.077564,   192.84,-3.34,(-1.70%),Virginia,Va.,VA,254
Woburn,Massachusetts,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/15,4127,2002,0.077223,   159.87,-7.02,(-4.21%),Massachusetts,Mass.,MA,255
New York,New York,ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862,1823,0.077162,   77.90,-1.44,(-1.81%),New York,N.Y.,NY,256
Chesapeake,Virginia,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/11,935703,1986,0.077015,   109.01,-3.8,(-3.37%),Virginia,Va.,VA,257
Burlington,North Carolina,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",11/1/04,920148,1978,0.076311,   271.91,-4.19,(-1.52%),North Carolina,N.C.,NC,258
Santa Rosa,California,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/18,1601046,2014,0.073453,   135.42,-3.51,(-2.53%),California,Calif.,CA,259
Thomasville,North Carolina,ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina",12/9/19,878927,1934,0.07309,   254.05,-10.09,(-3.82%),North Carolina,N.C.,NC,260
Lincolnshire,Illinois,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/19,877212,1969,0.073018,   463.51,-22.16,(-4.56%),Illinois,Ill.,IL,261
Dallas,Texas,CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",7/2/18,900075,1982,0.072245,   119.33,-1.71,(-1.41%),Texas,Tex.,TX,262
Chicago,Illinois,EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",12/3/01,906107,1969,0.072178,   71.98,-2.21,(-2.98%),Illinois,Ill.,IL,263
Birmingham,Alabama,VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",6/30/99,1396009,1909,0.071352,   189.95,-1.49,(-0.78%),Alabama,Ala.,AL,264
San Diego,California,O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",4/7/15,726728,1969,0.071169,   64.40,-1.79,(-2.70%),California,Calif.,CA,265
Stamford,Connecticut,URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/14,1067701,1997,0.070928,   344.99,4.66,-1.37%,Connecticut,Conn.,CT,266
Chicago,Illinois,NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889,0.070652,   116.35,-2.05,(-1.73%),Illinois,Ill.,IL,267
Stamford,Connecticut,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",11/18/15,1601712,2003,0.070535,   43.60,-1.61,(-3.56%),Connecticut,Conn.,CT,268
Hershey,Pennsylvania,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/57,47111,1894,0.070433,   166.00,-2.92,(-1.73%),Pennsylvania,Pa.,PA,269
San Jose,California,MXIM,Maxim Integrated Products,Information Technology,Semiconductors,"San Jose, California",12/3/18,743316,1983,0.070083,   89.93,-3.02,(-3.25%),California,Calif.,CA,270
Exton,Pennsylvania,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/20,105770,1923,0.069794,   324.80,-10.42,(-3.11%),Pennsylvania,Pa.,PA,271
Memphis,Tennessee,IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",3/4/57,51434,1898,0.068866,   60.94,-1.74,(-2.78%),Tennessee,Tenn.,TN,272
Everett,Washington,FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/16,1659166,2016,0.068339,   68.38,-1.77,(-2.52%),Washington,Wash.,WA,273
Lincolnshire,Illinois,CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/19,1402057,1984,0.068204,   163.67,-3.97,(-2.37%),Illinois,Ill.,IL,274
Tulsa,Oklahoma,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/10,1039684,1906,0.06776,   52.05,-1.22,(-2.29%),Oklahoma,Okla.,OK,275
North Kansas City,Missouri,CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/10,804753,1979,0.066858,   76.32,-0.37,(-0.48%),Missouri,Mo.,MO,276
Seattle,Washington,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",10/2/07,1324424,1996,0.066817,   160.11,-12.29,(-7.13%),Washington,Wash.,WA,277
Oakland,California,CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/69,21076,1913,0.066732,   181.98,-3.96,(-2.13%),California,Calif.,CA,278
Norcross,Georgia,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",6/20/18,1175454,2000,0.066659,   268.02,-9.89,(-3.56%),Georgia,Ga.,GA,279
Phoenix,Arizona,RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/08,1060391,1981,0.066552,   107.85,-2.05,(-1.87%),Arizona,Ariz.,AZ,280
Hartford,Connecticut,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/57,874766,1810,0.066476,   63.72,-0.27,(-0.42%),Connecticut,Conn.,CT,281
Raleigh,North Carolina,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,916076,1993,0.065986,   360.00,-17.14,(-4.54%),North Carolina,N.C.,NC,282
Springdale,Arkansas,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,1935,0.065554,   78.80,-0.64,(-0.81%),Arkansas,Ark.,AR,283
New York,New York,VIAC,ViacomCBS,Communication Services,Movies & Entertainment,"New York, New York",,813828,1952,0.065094,   38.72,-0.76,(-1.93%),New York,N.Y.,NY,284
Pasadena,California,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/17,1035443,1994,0.064267,   172.50,-4.55,(-2.57%),California,Calif.,CA,285
Brentwood,Tennessee,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/14,916365,1938,0.064227,   182.00,-9.26,(-4.84%),Tennessee,Tenn.,TN,286
Allentown,Pennsylvania,PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,1920,0.063974,   28.59,-0.75,(-2.56%),Pennsylvania,Pa.,PA,287
Hunt Valley,Maryland,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754,1889,0.063705,   88.94,-0.78,(-0.87%),Maryland,Md.,MD,288
New York,New York,HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/84,4447,1919,0.063657,   81.14,-0.01,(-0.01%),New York,N.Y.,NY,289
Rosemead,California,EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",3/4/57,827052,1886,0.063138,   57.23,-1.4,(-2.39%),California,Calif.,CA,290
Houston,Texas,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/31/82,797468,1920,0.063006,   24.49,-0.04,(-0.16%),Texas,Tex.,TX,291
Cleveland,Ohio,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",3/1/94,91576,1825,0.062773,   22.17,-0.58,(-2.55%),Ohio,Ohio,OH,292
Dulles,Virginia,VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/06,1014473,1995,0.062323,   218.75,-2.71,(-1.22%),Virginia,Va.,VA,293
Downers Grove,Illinois,DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/85,29905,1955,0.06221,   146.40,-3.79,(-2.52%),Illinois,Ill.,IL,294
Ewing,New Jersey,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/15,313927,1847,0.061817,   87.00,-1.09,(-1.24%),New Jersey,N.J.,NJ,295
New Orleans,Louisiana,ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/57,65984,1913,0.06173,   104.00,-3.03,(-2.83%),Louisiana,La.,LA,296
