Headquarters Location - Split 1,Headquarters Location - Split 2,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Weight,Price,Chg,% Chg,State,Abbrev,Code,Weight_rank
Tempe,Arizona,NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",3/25/03,849399,1982,0.034616,   25.03,1.68,-7.19%,Arizona,Ariz.,AZ,418
Tampa,Florida,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/11,1285785,1865,0.03457,   35.65,0.43,-1.22%,Florida,Fla.,FL,419
King of Prussia,Pennsylvania,UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/14,352915,1979,0.034492,   153.20,-2.15,(-1.38%),Pennsylvania,Pa.,PA,420
Monett,Missouri,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/18,779152,1976,0.034107,   155.11,-1.2,(-0.77%),Missouri,Mo.,MO,421
Bethesda,Maryland,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/07,1070750,1993,0.034058,   16.51,-0.48,(-2.83%),Maryland,Md.,MD,422
Boston,Massachusetts,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/09,1020569,1951,0.034025,   40.53,-1.4,(-3.34%),Massachusetts,Mass.,MA,423
Wyomissing,Pennsylvania,PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",3/22/21,921738,1972,0.034025,   76.03,-7.06,(-8.50%),Pennsylvania,Pa.,PA,424
Beverly Hills,California,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/19,1335258,2010,0.033628,   77.55,-4.4,(-5.37%),California,Calif.,CA,425
Chicago,Illinois,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/17,1374310,1973,0.033471,   111.16,1.63,-1.49%,Illinois,Ill.,IL,426
Melville,New York,HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",3/17/15,1000228,1932,0.033356,   78.63,-1.76,(-2.19%),New York,N.Y.,NY,427
Deerfield,Illinois,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/08,1324404,1946,0.032999,   54.23,-0.14,(-0.26%),Illinois,Ill.,IL,428
Eagle,Idaho,LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",12/3/18,1679273,1950,0.032586,   76.75,-1.39,(-1.78%),Idaho,Idaho,ID,429
Meridian,Colorado,DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/17,1001082,1980,0.032435,   44.38,-1.85,(-4.00%),Colorado,Colo.,CO,430
Greenwich,Connecticut,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/19,11544,1967,0.031979,   77.79,-1.3,(-1.64%),Connecticut,Conn.,CT,431
Seattle,Washington,FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",12/20/10,1048695,1996,0.031784,   174.96,-7.64,(-4.18%),Washington,Wash.,WA,432
Denver,Colorado,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Denver, Colorado",6/30/76,24545,1786,0.031634,   57.38,-0.42,(-0.73%),Colorado,Colo.,CO,433
Atlanta,Georgia,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",4/30/89,814453,1903,0.03121,   28.63,-0.35,(-1.21%),Georgia,Ga.,GA,434
Dallas,Texas,CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",12/1/95,28412,1849,0.030545,   76.24,-0.84,(-1.09%),Texas,Tex.,TX,435
New York,New York,NWSA,News Corp (Class A),Communication Services,Publishing,"New York, New York",8/1/13,1564708,1980,0.030284,   26.14,-1.5,(-5.43%),New York,N.Y.,NY,436
Atlanta,Georgia,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208,1935,0.029974,   26.00,-1.26,(-4.62%),Georgia,Ga.,GA,437
Englewood,Colorado,WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",9/29/06,1365135,1851,0.029919,   24.56,-0.94,(-3.69%),Colorado,Colo.,CO,438
Jacksonville,Florida,REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/17,910606,1963,0.029155,   62.10,-2.42,(-3.75%),Florida,Fla.,FL,439
Menlo Park,California,RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/00,315213,1948,0.02899,   87.45,-2.23,(-2.49%),California,Calif.,CA,440
Merrillville,Indiana,NI,NiSource Inc.,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912,0.028854,   25.40,-0.41,(-1.59%),Indiana,Ind.,IN,441
Camden,New Jersey,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/57,16732,1869,0.028717,   49.07,-0.96,(-1.92%),New Jersey,N.J.,NJ,442
Miami,Florida,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/17,1513761,1966,0.028649,   25.51,-2.15,(-7.77%),Florida,Fla.,FL,443
McKinney,Texas,GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335,1900,0.028385,   102.12,-1.79,(-1.72%),Texas,Tex.,TX,444
New York,New York,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/9/13,1492633,1923,0.028345,   27.31,-0.68,(-2.43%),New York,N.Y.,NY,445
Phoenix,Arizona,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985,0.027906,   83.65,-3.18,(-3.66%),Arizona,Ariz.,AZ,446
Milwaukee,Wisconsin,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/17,91142,1916,0.027608,   68.49,-2.38,(-3.36%),Wisconsin,Wis.,WI,447
Salt Lake City,Utah,ZION,Zions Bancorp,Financials,Regional Banks,"Salt Lake City, Utah",6/22/01,109380,1873,0.027298,   53.66,-4.88,(-8.34%),Utah,Utah,UT,448
San Mateo,California,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947,0.026703,   31.49,-2.3,(-6.81%),California,Calif.,CA,449
New York,New York,DISCK,"Discovery, Inc. (Series C)",Communication Services,Broadcasting,"New York, New York",8/7/14,1437107,1985,0.026375,   31.03,-0.86,(-2.70%),New York,N.Y.,NY,450
New Hyde Park,New York,KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",4/4/06,879101,1958,0.026148,   20.46,-0.62,(-2.94%),New York,N.Y.,NY,451
New York,New York,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",4/10/07,1267238,1892,0.026137,   156.33,0.16,-0.10%,New York,N.Y.,NY,452
Denver,Colorado,DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",7/31/08,927066,1979,0.026077,   122.78,-1.83,(-1.47%),Colorado,Colo.,CO,453
Houston,Texas,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,101778,1887,0.025952,   11.49,0,0.00%,Texas,Tex.,TX,454
Sunnyvale,California,JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",6/2/06,1043604,1996,0.025005,   25.90,-0.94,(-3.50%),California,Calif.,CA,455
Newport News,Virginia,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/18,1501585,2011,0.024921,   212.14,-2.56,(-1.19%),Virginia,Va.,VA,456
Charlotte,North Carolina,SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",3/4/57,1012100,1960,0.02484,   55.45,-0.94,(-1.67%),North Carolina,N.C.,NC,457
Tysons Corner,Virginia,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/17,1688568,2017,0.024797,   33.99,-0.04,(-0.12%),Virginia,Va.,VA,458
Houston,Texas,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/10,1013871,1992,0.024479,   33.63,-1.06,(-3.06%),Texas,Tex.,TX,459
Seattle,Washington,ALK,Alaska Air Group,Industrials,Airlines,"Seattle, Washington",5/13/16,766421,1985,0.023512,   64.77,-0.77,(-1.17%),Washington,Wash.,WA,460
Houston,Texas,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/97,6769,1954,0.023339,   20.62,-0.42,(-2.00%),Texas,Tex.,TX,461
Atlanta,Georgia,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/18,84839,1948,0.023255,   35.75,-1.2,(-3.25%),Georgia,Ga.,GA,462
New York,New York,PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/13,78239,1881,0.023072,   105.95,-5.84,(-5.22%),New York,N.Y.,NY,463
Rockville,Maryland,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/16,34903,1962,0.022778,   110.48,-3.73,(-3.27%),Maryland,Md.,MD,464
Bridgeport,Connecticut,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/08,1378946,1842,0.022666,   17.68,-1.08,(-5.76%),Connecticut,Conn.,CT,465
Wilsonville,Oregon,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/09,354908,1978,0.021827,   57.52,-0.85,(-1.46%),Oregon,Ore.,OR,466
Carthage,Missouri,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883,0.021743,   54.50,-2.19,(-3.86%),Missouri,Mo.,MO,467
Winston-Salem,North Carolina,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/15,1359841,2000,0.021551,   18.76,-0.52,(-2.70%),North Carolina,N.C.,NC,468
San Francisco,California,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/86,39911,1969,0.020696,   32.46,-2.83,(-8.02%),California,Calif.,CA,469
New York,New York,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York, New York",,899689,1982,0.020593,   44.57,-1.44,(-3.13%),New York,N.Y.,NY,470
Houston,Texas,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470,1989,0.019946,   17.50,0.09,-0.52%,Texas,Tex.,TX,471
Oxford,Massachusetts,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/18,1111928,1990,0.019015,   187.50,-3.25,(-1.70%),Massachusetts,Mass.,MA,472
Houston,Texas,NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/14/05,1021860,1841,0.018794,   16.75,-0.21,(-1.24%),Texas,Tex.,TX,473
New York,New York,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/07,1037038,1967,0.018722,   127.00,-7.05,(-5.26%),New York,N.Y.,NY,474
Chattanooga,Tennessee,UNM,Unum Group,Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/94,5513,1999,0.017422,   29.02,-0.86,(-2.88%),Tennessee,Tenn.,TN,475
New York,New York,DISCA,"Discovery, Inc. (Series A)",Communication Services,Broadcasting,"New York, New York",3/1/10,1437107,1985,0.016991,   35.50,-1.29,(-3.49%),New York,N.Y.,NY,476
New York,New York,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York, New York",9/18/15,1754301,2019,0.016158,   36.48,-0.91,(-2.43%),New York,N.Y.,NY,477
Dallas,Texas,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/18,48039,1947,0.014809,   34.40,0.19,-0.56%,Texas,Tex.,TX,478
Baltimore,Maryland,UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/14,1336917,1996,0.012369,   22.04,-1,(-4.34%),Maryland,Md.,MD,479
Baltimore,Maryland,UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",4/8/16,1336917,1996,0.010666,   18.21,-0.98,(-5.11%),Maryland,Md.,MD,480
New York,New York,NWS,News Corp (Class B),Communication Services,Publishing,"New York, New York",9/18/15,1564708,1980,0.008748,   24.48,-1.16,(-4.52%),New York,N.Y.,NY,481
